action_stability,action_switches,cost,dropped_requests,family,latency_proxy,mean_queue,model_path,return,seed,steps,traffic_profile,variant,vecnorm_path
0.8138138138138138,186,2527.0,0.0,PPO-LSTM,0.04276,21.38,./models/best_recurrent_ppo_memory256/best_model.zip,-2573.6832727193832,1,1000,standard,PPO-LSTM Memory256,./models/vecnormalize_recurrent_ppo_memory256.pkl
0.8228228228228228,177,2416.0,0.0,PPO-LSTM,0.053252,26.626,./models/best_recurrent_ppo_memory256/best_model.zip,-2463.3345412015915,2,1000,standard,PPO-LSTM Memory256,./models/vecnormalize_recurrent_ppo_memory256.pkl
0.7887887887887888,211,2641.0,0.0,PPO-LSTM,0.060734,30.367,./models/best_recurrent_ppo_memory256/best_model.zip,-2703.555317044258,3,1000,standard,PPO-LSTM Memory256,./models/vecnormalize_recurrent_ppo_memory256.pkl
0.7857857857857857,214,2647.0,0.0,PPO-LSTM,0.058484,29.242,./models/best_recurrent_ppo_memory256/best_model.zip,-2704.2550134658813,4,1000,standard,PPO-LSTM Memory256,./models/vecnormalize_recurrent_ppo_memory256.pkl
0.8338338338338338,166,2857.0,0.0,PPO-LSTM,0.032348,16.174,./models/best_recurrent_ppo_long_sequence/best_model.zip,-2883.1371595859528,0,1000,standard,PPO-LSTM Long-Sequence,./models/vecnormalize_recurrent_ppo_long_sequence.pkl
0.8398398398398399,160,2809.0,0.0,PPO-LSTM,0.031024,15.512,./models/best_recurrent_ppo_long_sequence/best_model.zip,-2845.3869228363037,1,1000,standard,PPO-LSTM Long-Sequence,./models/vecnormalize_recurrent_ppo_long_sequence.pkl
0.8418418418418419,158,2798.0,0.0,PPO-LSTM,0.028079999999999997,14.04,./models/best_recurrent_ppo_long_sequence/best_model.zip,-2819.023139357567,2,1000,standard,PPO-LSTM Long-Sequence,./models/vecnormalize_recurrent_ppo_long_sequence.pkl
0.8488488488488488,151,3029.0,1.0,PPO-LSTM,0.036781999999999995,18.391,./models/best_recurrent_ppo_long_sequence/best_model.zip,-3080.888242483139,3,1000,standard,PPO-LSTM Long-Sequence,./models/vecnormalize_recurrent_ppo_long_sequence.pkl
0.8488488488488488,151,2984.0,0.0,PPO-LSTM,0.03004,15.02,./models/best_recurrent_ppo_long_sequence/best_model.zip,-3015.23781812191,4,1000,standard,PPO-LSTM Long-Sequence,./models/vecnormalize_recurrent_ppo_long_sequence.pkl
0.8238238238238238,176,2805.0,0.0,PPO-LSTM,0.028768000000000002,14.384,./models/best_recurrent_ppo_robust_spikes/best_model.zip,-2820.9469327926636,0,1000,standard,PPO-LSTM Robust-Spikes,./models/vecnormalize_recurrent_ppo_robust_spikes.pkl
0.8278278278278278,172,2836.0,0.0,PPO-LSTM,0.029478,14.739,./models/best_recurrent_ppo_robust_spikes/best_model.zip,-2852.281829357147,1,1000,standard,PPO-LSTM Robust-Spikes,./models/vecnormalize_recurrent_ppo_robust_spikes.pkl
0.8388388388388388,161,2797.0,0.0,PPO-LSTM,0.030373999999999998,15.187,./models/best_recurrent_ppo_robust_spikes/best_model.zip,-2808.1944156885147,2,1000,standard,PPO-LSTM Robust-Spikes,./models/vecnormalize_recurrent_ppo_robust_spikes.pkl
0.8208208208208209,179,2971.0,0.0,PPO-LSTM,0.033874,16.937,./models/best_recurrent_ppo_robust_spikes/best_model.zip,-3002.3335428237915,3,1000,standard,PPO-LSTM Robust-Spikes,./models/vecnormalize_recurrent_ppo_robust_spikes.pkl
0.8308308308308309,169,2979.0,0.0,PPO-LSTM,0.030446,15.223,./models/best_recurrent_ppo_robust_spikes/best_model.zip,-3000.0987894535065,4,1000,standard,PPO-LSTM Robust-Spikes,./models/vecnormalize_recurrent_ppo_robust_spikes.pkl
